Font Name	Version	woff2	woff	ttf	eot	svg	Total Size
ABeeZee	13	17048	21292	40048	17743	59699	155830
Abel	11	9588	12556	28940	11004	92122	154210
Abhaya Libre	5	20812	25528	54728	23666	74061	198795
Abril Fatface	11	13120	16896	32272	14923	58862	136073
Aclonica	10	16600	20684	37604	19583	80314	174785
Acme	9	8240	11372	19328	9076	51213	99229
Actor	9	21936	27472	58608	23479	61501	192996
Adamina	13	29048	36084	71336	29350	77006	242824
Advent Pro	10	15876	20052	42012	17987	52089	148016
Aguafina Script	9	15952	19936	41448	17641	113015	207992
Akronim	10	48344	56784	91232	53372	371206	620938
Aladin	9	14556	18156	36624	16225	95350	180911
Alata	2	17568	21724	40288	20208	54560	154348
Alatsi	2	18856	23368	42116	21686	55244	161270
Aldrich	10	16144	20732	45728	15613	60798	159015
Alef	11	20068	24172	41828	20970	69193	176231
Alegreya Sans SC	9	19796	24420	46124	22702	56725	169767
Alegreya Sans	10	20388	24864	44104	23361	61443	174160
Alegreya SC	11	25440	30668	60824	28892	92505	238329
Alegreya	13	25672	30784	54224	29143	91031	230854
Aleo	3	28288	34284	67612	31844	99345	261373
Alex Brush	11	17524	21068	39048	18771	109130	205541
Alfa Slab One	9	17936	22312	43796	20522	51422	155988
Alice	11	25084	30056	61380	29009	108095	253624
Alike Angular	11	25672	32084	70016	25250	61133	214155
Alike	13	28648	34964	66944	27042	73546	231144
Allan	12	21104	26480	42408	24217	75214	189423
Allerta Stencil	10	8332	10564	15740	9205	53234	97075
Allerta	10	7844	9988	15288	8636	52546	94302
Allura	8	19096	22368	40044	20101	109402	211011
Almendra Display	11	10632	14216	32424	11583	88024	156879
Almendra SC	11	11392	14652	29356	12392	82483	150275
Almendra	13	12236	16052	33252	13358	78372	153270
Amarante	8	23352	29596	71908	25828	91889	242573
Amaranth	10	26268	31744	61696	27064	68479	215251
Amatic SC	13	26984	31176	52828	30054	123213	264255
Amethysta	9	25140	31420	62236	23554	68113	210463
Amiko	5	15432	19212	35600	17405	52023	139672
Amiri	14	20452	24536	51488	23210	121178	240864
Amita	6	20916	24912	50300	24058	70945	191131
Anaheim	8	14304	17840	27744	15846	54086	129820
Andada	12	11820	15432	30700	12934	73178	144064
Andika	12	25240	31568	63988	26060	81120	227976
Annie Use Your Telescope	10	14832	17176	26168	15933	98475	172584
Anonymous Pro	13	17540	22396	38832	18881	54347	151996
Antic Didone	9	12540	16764	33428	14972	60986	138690
Antic Slab	8	12012	15968	30724	14185	52656	125545
Antic	11	13688	18104	37116	17022	49402	135332
Anton	11	14220	17808	31188	16176	48411	127803
Arapey	8	8816	11836	21352	9683	58724	110411
Arbutus Slab	8	18892	23284	37684	20819	80830	181509
Arbutus	10	25344	27824	51788	27685	233006	365647
Architects Daughter	10	13144	15660	22352	14289	85377	150822
Archivo Black	9	18584	23180	46888	21175	50337	160164
Archivo Narrow	11	18008	22848	48284	20719	50049	159908
Archivo	6	17328	21424	40468	19770	50752	149742
Aref Ruqaa	9	14564	17988	24916	15781	92229	165478
Arima Madurai	5	19452	23784	39720	21822	78958	183736
Arimo	13	25080	30000	51232	23043	54032	183387
Arizonia	11	19124	22404	40296	19939	110619	212382
Armata	11	17540	22192	44200	19259	67375	170566
Arsenal	4	17608	22124	44176	19999	57417	161324
Artifika	11	35732	43644	82556	36837	113965	312734
Arvo	13	17300	21240	37508	19436	72576	168060
Arya	6	15316	19004	33060	17245	52314	136939
Asap Condensed	5	20700	25172	46288	23641	77360	193161
Asap	11	20432	25012	46644	23410	78873	194371
Asar	8	22560	26616	49812	25381	107906	232275
Asset	10	18732	22300	43728	20244	138726	243730
Assistant	4	16488	20196	35808	19014	55254	146760
Astloch	12	18416	23320	50408	20968	97317	210429
Asul	10	12416	16004	27900	13584	66939	136843
Athiti	5	20076	25008	49232	22895	56427	173638
Atma	6	22480	26876	50448	25942	84668	210414
Atomic Age	13	15964	20172	37852	18188	71261	163437
Aubrey	13	23260	29620	60316	24375	64969	202540
Audiowide	8	14036	17764	33256	16527	69244	150827
Autour One	10	29464	34036	51752	32339	169938	317529
Average Sans	9	8268	11432	20452	9145	46168	95465
Average	9	11712	15524	31464	12996	70883	142579
Averia Gruesa Libre	9	37288	50096	102416	51611	438951	680362
Averia Libre	9	36600	49484	99772	50799	431224	667879
Averia Sans Libre	9	36608	49228	99712	50479	430146	666173
Averia Serif Libre	10	37324	50176	101016	51772	434643	674931
B612 Mono	5	19104	24304	56724	20697	76656	197485
B612	5	21312	26576	59656	21150	74677	203371
Bad Script	8	18636	22472	29272	20005	111411	201796
Bahiana	5	16872	21604	41208	19193	40264	139141
Bahianita	3	22668	28716	53232	26165	41753	172534
Bai Jamjuree	3	10608	13756	25340	12341	55832	117877
Baloo 2	1	26672	32376	70580	30792	79410	239830
Baloo Bhai 2	1	26576	32332	70560	30796	79509	239773
Baloo Bhaina 2	1	26300	31968	70552	30326	79578	238724
Baloo Chettan 2	1	26476	32224	70412	30573	79515	239200
Baloo Da 2	1	26576	32256	70308	30670	79487	239297
Baloo Paaji 2	1	26604	32396	70376	30792	79511	239679
Baloo Tamma 2	1	26568	32280	70824	30602	79511	239785
Baloo Tammudu 2	1	26472	32120	70376	30492	79516	238976
Baloo Thambi 2	1	26592	32192	70252	30525	79513	239074
Balsamiq Sans	1	30596	36144	60992	33998	102550	264280
Balthazar	10	9224	12596	22592	10118	55391	109921
Bangers	12	21160	25132	48440	24524	94722	213978
Barlow Condensed	4	19492	23828	44812	22372	80974	191478
Barlow Semi Condensed	5	20636	25080	46524	23596	84023	199859
Barlow	4	20444	24916	46036	23272	84601	199269
Barriecito	3	52652	61400	117892	58971	141077	431992
Barrio	5	40512	47860	106152	45058	149501	389083
Basic	9	18556	22104	34852	20478	89916	185906
Baskervville	1	22396	26584	51172	25362	82631	208145
Baumans	10	18924	23836	47916	13996	51952	156624
Be Vietnam	2	17860	22076	38836	20390	55420	154582
Bebas Neue	1	13092	16460	33204	15042	43696	121494
Belgrano	11	11168	15068	25236	13164	52958	117594
Bellefair	6	16632	20312	35544	18821	66214	157523
Belleza	9	9460	12920	21876	10478	50355	105089
Bellota Text	2	19448	23852	42976	22590	60320	169186
Bellota	2	20624	25192	46828	23902	65769	182315
BenchNine	8	20244	24300	41708	22566	91684	200502
Bentham	10	17976	22140	32968	20071	68657	161812
Berkshire Swash	8	17336	20164	38224	19174	129663	224561
Beth Ellen	3	40840	45996	75496	45147	203525	411004
Bevan	11	19984	24356	44528	22488	62428	173784
Big Shoulders Display	2	18072	21560	42080	20868	56000	158580
Big Shoulders Text	2	18620	22124	42472	21532	57171	161919
Bigelow Rules	9	19972	23852	41452	22965	103459	211700
Bigshot One	11	14064	18452	42832	16428	75228	167004
Bilbo Swash Caps	13	21320	25040	49504	22710	139220	257794
Bilbo	10	15452	19628	36336	17487	93803	182706
BioRhyme Expanded	6	22988	27660	50412	26673	64168	191901
BioRhyme	5	22792	27392	50996	26514	62940	190634
Biryani	5	14104	17564	31084	15812	48439	127003
Bitter	16	14672	18112	32872	16816	61595	144067
Black And White Picture	8	51688	58684	118368	57595	314123	600458
Black Han Sans	8	9360	12276	24156	10930	21384	78106
Black Ops One	11	13824	18296	37020	15425	37743	122308
Blinker	4	18116	21680	45544	21007	49027	155374
Bonbon	12	31076	37220	70736	30535	135403	304970
Boogaloo	11	10276	13632	23884	11351	56733	115876
Bowlby One SC	11	23724	28672	40316	25469	123392	241573
Bowlby One	12	21576	26096	39468	23481	123840	234461
Brawler	11	35184	43564	87920	35886	72645	275199
Bree Serif	9	10368	13944	24200	11676	55445	115633
Bubblegum Sans	9	14188	18092	33548	16082	81007	162917
Bubbler One	9	10044	13360	28276	11581	44693	107954
Buda	11	23804	29756	48076	28290	68888	198814
Buenard	12	10852	14304	27236	11716	70388	134496
Bungee Hairline	6	16848	20788	44812	19690	53711	155849
Bungee Inline	6	26844	33724	70868	31151	120625	283212
Bungee Outline	6	37368	48604	98860	43123	189213	417168
Bungee Shade	6	43516	57528	131200	49917	194909	477070
Bungee	5	17296	21512	50676	20067	81018	190569
Butcherman	12	30832	36092	50512	33378	210115	360929
Butterfly Kids	9	70540	85152	189988	80991	694526	1121197
Cabin Condensed	13	18424	22664	44124	21554	49010	155776
Cabin Sketch	13	78868	89708	147904	87964	556809	961253
Cabin	14	19252	23556	45632	22537	49829	160806
Caesar Dressing	9	30020	34712	82896	33415	315451	496494
Cagliostro	9	13796	17104	29576	15261	87073	162810
Cairo	7	20672	25868	48332	24902	48224	167998
Caladea	2	20420	24964	47228	23294	70460	186366
Calistoga	2	24308	29108	54876	27642	83819	219753
Calligraffitti	12	29920	35092	56340	32190	166951	320493
Cambay	7	20260	25236	63088	23083	54332	185999
Cambo	9	9612	13108	23796	10570	58979	116065
Candal	9	11776	14964	22976	13142	74985	137843
Cantarell	9	10748	14168	21880	11665	59840	118301
Cantata One	9	18548	23636	47312	20398	68083	177977
Cantora One	10	25344	30780	74420	28772	79505	238821
Capriola	7	20836	25652	50496	22876	100384	220244
Cardo	11	14912	18576	27536	16053	96189	173266
Carme	11	18668	23604	73928	24286	43636	184122
Carrois Gothic SC	10	14564	18572	34940	15255	48642	131973
Carrois Gothic	11	15604	19744	36096	16194	53644	141282
Carter One	11	28048	33744	57788	33128	162411	315119
Catamaran	7	8516	11096	17844	9561	53300	100317
Caudex	9	15808	19824	39944	17312	103937	196825
Caveat Brush	5	67548	86256	160360	75202	172522	561888
Caveat	7	62008	72412	142004	71026	169431	516881
Cedarville Cursive	11	23148	26340	41080	25035	168190	283793
Ceviche One	11	14316	18260	30832	16398	70820	150626
Chakra Petch	3	8880	12084	22264	10369	36956	90553
Changa One	12	7924	10948	18264	8731	49423	95290
Changa	10	15428	18980	34584	17579	52707	139278
Chango	9	12096	15488	29928	13115	80484	151111
Charm	5	18928	22640	42324	21506	113255	218653
Charmonman	3	18924	22536	34348	21211	105744	202763
Chathura	6	6992	8960	14088	7673	31972	69685
Chau Philomene One	10	10572	14196	27220	11429	58753	122170
Chela One	9	12556	15928	29132	13731	72429	143776
Chelsea Market	8	61556	71248	163492	69576	584607	950479
Cherry Cream Soda	11	24236	28456	46712	27011	147332	273747
Cherry Swash	9	8304	11412	21580	9037	55771	106104
Chewy	11	19920	22880	37904	22116	128507	231327
Chicle	9	14820	18552	35348	16672	88510	173902
Chilanka	6	17544	21416	39472	18959	113008	210399
Chivo	11	18508	23232	45596	21731	52632	161699
Chonburi	5	18580	23352	48612	20773	69993	181310
Cinzel Decorative	8	14488	17340	35136	15436	68506	150906
Cinzel	9	13464	16248	32724	14244	62372	139052
Clicker Script	8	23004	26332	45660	25301	134976	255273
Coda Caption	13	21660	26720	46076	25318	58895	178669
Coda	15	20900	25332	47836	23166	77552	194786
Codystar	8	39860	48432	100004	44888	509031	742215
Coiny	6	15488	18660	33116	16715	82836	166815
Combo	9	21132	25316	68660	23557	80583	219248
Comfortaa	29	18072	21888	44412	20518	76645	181535
Comic Neue	2	19068	23512	42040	21795	84635	191050
Coming Soon	12	21400	24952	44148	23717	151451	265668
Concert One	10	24308	30248	63536	26783	118747	263622
Condiment	8	16604	21028	37788	19079	90843	185342
Contrail One	10	10588	14212	26108	11516	78593	141017
Convergence	9	9464	12756	22644	10704	51293	106861
Cookie	11	14456	17880	34224	15948	94334	176842
Copse	10	26800	32872	63064	29968	106234	258938
Corben	14	15540	19252	27460	16825	98133	177210
Cormorant Garamond	7	32092	39072	91188	36220	95341	293913
Cormorant Infant	8	30232	37128	82396	34278	94513	278547
Cormorant SC	8	25512	31164	69864	29059	96452	252051
Cormorant Unicase	8	25792	31424	70584	29312	96278	253390
Cormorant Upright	6	31160	37136	80276	35190	94644	278406
Cormorant	8	29128	34744	72444	32796	95268	264380
Courgette	7	24984	30424	58964	27317	124107	265796
Courier Prime	2	18764	23128	43944	20977	99398	206211
Cousine	14	18456	22756	37548	18709	49480	146949
Coustard	11	26516	32424	66308	29263	122436	276947
Covered By Your Grace	9	16312	19440	32644	17290	126811	212497
Crafty Girls	10	37168	43760	70592	40514	210921	402955
Creepster	9	28120	32740	57492	31937	227851	378140
Crete Round	8	11492	15252	30108	12696	76834	146382
Crimson Pro	13	15548	18980	39256	18049	72527	164360
Crimson Text	10	14888	18268	30192	16190	103073	182611
Croissant One	8	9140	12424	24188	10035	59373	115160
Crushed	11	12108	14820	29392	13642	81877	151839
Cuprum	11	15320	19200	40532	17590	47315	139957
Cute Font	8	9424	12332	23104	11098	29950	85908
Cutive Mono	8	20776	25384	46508	23125	99377	215170
Cutive	12	22992	28600	59112	25622	101303	237629
Damion	9	18960	21956	31352	20664	149984	242916
Dancing Script	15	23496	28436	51176	28448	107091	238647
Darker Grotesque	2	18116	21856	39204	20677	56062	155915
David Libre	5	22372	26448	42516	24680	92484	208500
